year,"Inflação (CPI, % a.a.)",PIB real — crescimento (% a.a.),Desemprego (% força de trabalho),Conta Corrente (% do PIB),Juros reais (% a.a.)
2000,7.04414105947266,4.38794944745618,10.889,-4.0477413019387,48.5047281998625
2001,6.84035902487523,1.38989640095637,10.649,-4.44478653179819,45.6378187103224
2002,8.45016437708331,3.05346185909312,10.641,-1.84525901678299,48.3404374454115
2003,14.7149197228147,1.14082899824888,11.168,0.392877183707379,46.4473988425047
2004,6.59718509985963,5.75996463670954,10.072,1.33863064799445,43.7791527165785
2005,6.86953720898964,3.20213206130431,10.551,1.30988466560485,44.6351688571973
2006,4.18356812896909,3.96198871122617,9.692,0.9727105230346,41.2403264943497
2007,3.64127299102652,6.06987060678338,9.28,-0.19709696108555,35.0225154458254
2008,5.67859390284168,5.09419544658736,8.268,-2.09933784786717,35.3667577909041
2009,4.88803479876799,-0.125812002161169,9.419,-1.7593578735281,34.7920096363809
2010,5.03872690108075,7.52822581815364,8.422,-3.92594604454763,29.1158055203633
2011,6.6364496221309,3.97442307944702,7.578,-3.19461831905473,32.8334595030087
2012,5.40349914036997,1.92117598576537,7.251,-3.75941611687375,26.5820905384107
2013,6.20431066640101,3.00482266944432,7.071,-3.57422079622864,18.4988444156891
2014,6.32904015516139,0.503955740242247,6.755,-4.4988303801852,22.4036724322518
2015,9.02990102416136,-3.54576339269425,8.538,-3.51839166799859,33.8323439727973
2016,8.73914352329393,-3.27591690782192,11.58,-1.700113396765,40.6983614262467
2017,3.44637335032669,1.32286905404399,12.792,-1.22429925769002,41.7138078856955
2018,3.66485028376729,1.783666761634,12.329,-2.80752008594698,33.1023342519639
2019,3.73297621216894,1.22077782360842,11.936,-3.46989581435142,31.9030727578921
2020,3.21176803803376,-3.2767587964736,13.697,-1.687788053241,21.1971796692944
2021,8.30165975585673,4.76260437908608,13.158,-2.4187656822737,15.0108849841429
2022,9.28010608956873,3.01669435393015,9.231,-2.15975658541159,28.3960928177676
2023,4.59356282283204,3.24165532906981,7.947,-1.27481070395724,36.5544706219779
2024,4.36746407652337,3.39586645454844,7.634,-2.80783369862457,35.0941068020684
